"Nro Empenho"|"Nro Processo"|"Fornecedor"|"Data Empenho"|"Descrição Empenho"|"Função"|"Sub Função"|"Fonte Recurso"|"Aplicação"|"Natureza"|"Unidade Orçamentária"|"Programa"|"Ação"|"Modalidade de Licitação"|"Empenho Original"|"Estorno Empenho"|"Saldo Empenho"|"Valor Processado"|"Valor Pago"
"00035-01"|"E00180/2021"|"<b>Iris Inst. de Radiologia e Imaginologia </b><br>Sorocaba Inst. de Radiologia e Imaginologia <br>(26.560.945/0001-51)"|"02/01/2025"|"SALDO RADIOGRAFIA ODONTO"|"Saude"|"Atencao Basica"|"Tesouro"|"Atencao Basica"|"3.3.90.39.00-Outros Servicos de Terceiros - Pessoa Juridica"|"Secr.da Saude"|"Saude Publica de Qualidade e Eficaz"|"2109-Atencao Primaria em Saude"|"Pregao Eletronico"|16585.54|0.00|16585.54|16585.54|16585.54
"00035-01"|"E00708/2019"|"Cs Brasil Frotas Ltda <br>(27.595.780/0001-16)"|"02/01/2023"|"REEMPENHO NE:8.899/22-LOCACAO DE VEICULO REAJUSTE CF CPLV03.708/19-FL.468"|"Saude"|"Assistencia Hospitalar e Ambulatorial"|"Transferencias e Convenios Federais - Vinculados"|"Bloco 02 - Media e Alta Complexidade Amb.e Hosp."|"3.3.90.39.00-Outros Servicos de Terceiros - Pessoa Juridica"|"Secr.da Saude"|"Saude Publica de Qualidade e Eficaz"|"2093-Atencao de Media e Alta Complexidade"|"Pregao Eletronico"|3216.60|0.00|3216.60|3216.60|3216.60
"00036-01"|"O10354/2022"|"Instituto de Atencao a Saude e Educacao <br>(01.476.404/0001-19)"|"02/01/2025"|"PA 3948/22(DAC) - UPA ZONA OESTE"|"Saude"|"Assistencia Hospitalar e Ambulatorial"|"Tesouro"|"Atencao Media Alta Complex Amb e Hosp."|"3.3.50.39.00-Outros Servicos de Terceiros - Pessoa Juridica"|"Secr.da Saude"|"Saude Publica de Qualidade e Eficaz"|"2093-Atencao de Media e Alta Complexidade"|"Outros"|1072067.39|0.00|1072067.39|1072067.39|1072067.39
"00037-01"|"O10354/2022"|"Instituto de Atencao a Saude e Educacao <br>(01.476.404/0001-19)"|"02/01/2025"|"PA 3948/22(DAC) - UPA ZONA OESTE"|"Saude"|"Assistencia Hospitalar e Ambulatorial"|"Transferencias e Convenios Federais - Vinculados"|"Bloco 02 - Media e Alta Complexidade Amb.e Hosp."|"3.3.50.39.00-Outros Servicos de Terceiros - Pessoa Juridica"|"Secr.da Saude"|"Saude Publica de Qualidade e Eficaz"|"2093-Atencao de Media e Alta Complexidade"|"Outros"|2100000.00|0.00|2100000.00|2100000.00|2100000.00
"00038-01"|"O16675/2023"|"Instituto Jurid.p/efetivacao da Cidadania e <br>(03.893.350/0001-12)"|"02/01/2025"|"PA 17180/23 (DAC) - UPA ZONA NORTE"|"Saude"|"Assistencia Hospitalar e Ambulatorial"|"Tesouro"|"Atencao Media Alta Complex Amb e Hosp."|"3.3.50.39.00-Outros Servicos de Terceiros - Pessoa Juridica"|"Secr.da Saude"|"Saude Publica de Qualidade e Eficaz"|"2093-Atencao de Media e Alta Complexidade"|"Outros"|2297615.80|0.00|2297615.80|2297615.80|2297615.80
"00039-01"|"O16675/2023"|"Instituto Jurid.p/efetivacao da Cidadania e <br>(03.893.350/0001-12)"|"02/01/2025"|"PA 17180/23 (DAC) - UPA ZONA NORTE"|"Saude"|"Assistencia Hospitalar e Ambulatorial"|"Transferencias e Convenios Federais - Vinculados"|"Bloco 02 - Media e Alta Complexidade Amb.e Hosp."|"3.3.50.39.00-Outros Servicos de Terceiros - Pessoa Juridica"|"Secr.da Saude"|"Saude Publica de Qualidade e Eficaz"|"2093-Atencao de Media e Alta Complexidade"|"Outros"|1050000.00|0.00|1050000.00|1050000.00|1050000.00
"00041-01"|"E00129/2022"|"<b>Vida Centro Diagnostico Medico </b><br>Top Imagem Medicina Diagnostica Ltda <br>(09.206.909/0001-75)"|"02/01/2024"|"REEMP. NE 7600/23 - CPL129/22C.434/22(DA G)-USG DIGITAL"|"Saude"|"Assistencia Hospitalar e Ambulatorial"|"Tesouro"|"Atencao Media Alta Complex Amb e Hosp."|"3.3.90.39.00-Outros Servicos de Terceiros - Pessoa Juridica"|"Secr.da Saude"|"Saude Publica de Qualidade e Eficaz"|"2093-Atencao de Media e Alta Complexidade"|"Pregao Eletronico"|38622.57|0.00|38622.57|38622.57|38622.57
"00042-01"|"E00481/2022"|"<b>Senior Mais Servicos em Saude </b><br>Senior Mais Servicos em Saude Ltda <br>(29.039.106/0001-80)"|"02/01/2024"|"REEMP. NE 2252/23 - CPL481/22(DAG)-HOME CARE G.R.D (SENIOR)"|"Saude"|"Assistencia Hospitalar e Ambulatorial"|"Tesouro"|"Atencao Media Alta Complex Amb e Hosp."|"3.3.90.39.00-Outros Servicos de Terceiros - Pessoa Juridica"|"Secr.da Saude"|"Saude Publica de Qualidade e Eficaz"|"2093-Atencao de Media e Alta Complexidade"|"Pregao Eletronico"|43660.82|0.00|43660.82|43660.82|43660.82
"00043-01"|"E00544/2020"|"<b>Pro-saude Home Care </b><br>Pro-saude Atendimento Ltda <br>(18.644.912/0001-61)"|"02/01/2024"|"REEMP. NE 13665/23 - CPL 544/2020 C.37/2 1(DAG) HOME CARE PCT MHSA"|"Saude"|"Assistencia Hospitalar e Ambulatorial"|"Tesouro"|"Atencao Media Alta Complex Amb e Hosp."|"3.3.90.39.00-Outros Servicos de Terceiros - Pessoa Juridica"|"Secr.da Saude"|"Saude Publica de Qualidade e Eficaz"|"2093-Atencao de Media e Alta Complexidade"|"Pregao Eletronico"|40909.37|0.00|40909.37|40909.37|40909.37
"00044-01"|"E00544/2020"|"<b>Pro-saude Home Care </b><br>Pro-saude Atendimento Ltda <br>(18.644.912/0001-61)"|"02/01/2024"|"REEMP. NE 13665/23 - PGTO NF 1586 - CPL 544/2020 - HOME CARE PCT MHSA"|"Saude"|"Assistencia Hospitalar e Ambulatorial"|"Tesouro"|"Atencao Media Alta Complex Amb e Hosp."|"3.3.90.39.00-Outros Servicos de Terceiros - Pessoa Juridica"|"Secr.da Saude"|"Saude Publica de Qualidade e Eficaz"|"2093-Atencao de Media e Alta Complexidade"|"Pregao Eletronico"|41993.60|0.00|41993.60|41993.60|41993.60
"00045-01"|"E00285/2021"|"<b>Senior Mais Servicos em Saude </b><br>Senior Mais Servicos em Saude Ltda <br>(29.039.106/0001-80)"|"02/01/2023"|"REEMP.NE 4565/22 SERVICO HOME CARE M.A.F CPL 285/2021 V.03"|"Saude"|"Assistencia Hospitalar e Ambulatorial"|"Tesouro"|"Atencao Media Alta Complex Amb e Hosp."|"3.3.90.39.00-Outros Servicos de Terceiros - Pessoa Juridica"|"Secr.da Saude"|"Saude Publica de Qualidade e Eficaz"|"2093-Atencao de Media e Alta Complexidade"|"Pregao Eletronico"|148703.04|0.00|148703.04|148703.04|148703.04
"00046-01"|"E00560/2021"|"Vagner Borges Dias Me <br>(09.635.153/0001-80)"|"02/01/2024"|"REEMP. NE 6864/23 - CPL560/21C.512/22(DA G)-SERV. LIMPEZA"|"Saude"|"Assistencia Hospitalar e Ambulatorial"|"Tesouro"|"Atencao Media Alta Complex Amb e Hosp."|"3.3.90.39.00-Outros Servicos de Terceiros - Pessoa Juridica"|"Secr.da Saude"|"Saude Publica de Qualidade e Eficaz"|"2093-Atencao de Media e Alta Complexidade"|"Pregao Eletronico"|13817.98|0.00|13817.98|13817.98|13817.98
"00046-01"|"E00720/2022"|"Rosamar Comercio de Alimentos Ltda <br>(05.490.229/0001-75)"|"02/01/2025"|"SALDO CPL720/22(DAG)-FORN.REFEICOES PRON TAS PA LARANJEIRAS/CAPS"|"Saude"|"Assistencia Hospitalar e Ambulatorial"|"Tesouro"|"Atencao Media Alta Complex Amb e Hosp."|"3.3.90.39.00-Outros Servicos de Terceiros - Pessoa Juridica"|"Secr.da Saude"|"Saude Publica de Qualidade e Eficaz"|"2093-Atencao de Media e Alta Complexidade"|"Pregao Eletronico"|1257.10|0.00|1257.10|1235.82|1235.82
"00046-01"|"E00720/2022"|"Rosamar Comercio de Alimentos Ltda <br>(05.490.229/0001-75)"|"16/12/2025"|"SALDO CPL720/22(DAG)-FORN.REFEICOES PRON TAS PA LARANJEIRAS/CAPS"|"Saude"|"Assistencia Hospitalar e Ambulatorial"|"Tesouro"|"Atencao Media Alta Complex Amb e Hosp."|"3.3.90.39.00-Outros Servicos de Terceiros - Pessoa Juridica"|"Secr.da Saude"|"Saude Publica de Qualidade e Eficaz"|"2093-Atencao de Media e Alta Complexidade"|"Pregao Eletronico"|0.00|-21.28|-21.28|0.00|0.00
"00047-01"|"E00252/2021"|"Alberto Caio Tamborrino Importacao Exportacao <br>(74.434.457/0001-40)"|"02/01/2023"|"PREFIXO 883-RENAULT MASTER 2.3 ANO 2012 CPLV04.252/21"|"Saude"|"Assistencia Hospitalar e Ambulatorial"|"Transferencias e Convenios Federais - Vinculados"|"Bloco 02 - Media e Alta Complexidade Amb.e Hosp."|"3.3.90.30.00-Material de Consumo"|"Secr.da Saude"|"Saude Publica de Qualidade e Eficaz"|"2093-Atencao de Media e Alta Complexidade"|"Pregao Eletronico"|176.24|0.00|176.24|0.00|0.00
"00047-01"|"E00252/2021"|"Alberto Caio Tamborrino Importacao Exportacao <br>(74.434.457/0001-40)"|"19/10/2023"|"PREFIXO 883-RENAULT MASTER 2.3 ANO 2012 CPLV04.252/21"|"Saude"|"Assistencia Hospitalar e Ambulatorial"|"Transferencias e Convenios Federais - Vinculados"|"Bloco 02 - Media e Alta Complexidade Amb.e Hosp."|"3.3.90.30.00-Material de Consumo"|"Secr.da Saude"|"Saude Publica de Qualidade e Eficaz"|"2093-Atencao de Media e Alta Complexidade"|"Pregao Eletronico"|0.00|-176.24|-176.24|0.00|0.00
"00048-01"|"E00348/2021"|"Nutriport Comercial Ltda <br>(03.612.312/0001-44)"|"02/01/2023"|"FORNECIMENTO SUPLEMENTO INFANTIL P/ REDE MUNICIPAL-CPL:348/21 VOL.02 FL.74"|"Saude"|"Atencao Basica"|"Transferencias e Convenios Estaduais - Vinculados"|"Municipalizacao da Saudeè"|"3.3.90.30.00-Material de Consumo"|"Secr.da Saude"|"Saude Publica de Qualidade e Eficaz"|"2109-Atencao Primaria em Saude"|"Pregao Eletronico"|8150.00|0.00|8150.00|8070.00|8070.00
"00048-01"|"E00348/2021"|"Nutriport Comercial Ltda <br>(03.612.312/0001-44)"|"19/10/2023"|"FORNECIMENTO SUPLEMENTO INFANTIL P/ REDE MUNICIPAL-CPL:348/21 VOL.02 FL.74"|"Saude"|"Atencao Basica"|"Transferencias e Convenios Estaduais - Vinculados"|"Municipalizacao da Saudeè"|"3.3.90.30.00-Material de Consumo"|"Secr.da Saude"|"Saude Publica de Qualidade e Eficaz"|"2109-Atencao Primaria em Saude"|"Pregao Eletronico"|0.00|-80.00|-80.00|0.00|0.00
"00048-01"|"E00441/2021"|"Ctis Tecnologia Ltda <br>(01.644.731/0001-32)"|"02/01/2025"|"SALDO CPLV02.441/22(TI)-SERV. OUTSOURCIN G- CTIS"|"Saude"|"Administracao Geral"|"Tesouro"|"Atencao Basica"|"3.3.90.40.00-Servicos Tecnologia Informacao e Comunicacao - Pj"|"Secr.da Saude"|"Saude Publica de Qualidade e Eficaz"|"2019-Manutencao e Modernizacao dos Servicos Administrat Ivos"|"Pregao Eletronico"|90035.76|0.00|90035.76|90035.76|90035.76
"00048-01"|"E00560/2021"|"Vagner Borges Dias Me <br>(09.635.153/0001-80)"|"02/01/2024"|"REEMP. NE 6863/23 - CPL560/21C.512/22(DA G)-SERV. LIMPEZA"|"Saude"|"Assistencia Hospitalar e Ambulatorial"|"Tesouro"|"Atencao Media Alta Complex Amb e Hosp."|"3.3.90.39.00-Outros Servicos de Terceiros - Pessoa Juridica"|"Secr.da Saude"|"Saude Publica de Qualidade e Eficaz"|"2093-Atencao de Media e Alta Complexidade"|"Pregao Eletronico"|39814.54|0.00|39814.54|39814.54|39814.54
"00050-01"|"E00252/2021"|"Alberto Caio Tamborrino Importacao Exportacao <br>(74.434.457/0001-40)"|"02/01/2023"|"PREFIXO 1044 RENAULT MASTER 2.3 ANO 2019 CPLV04.252/21-FL.218"|"Saude"|"Assistencia Hospitalar e Ambulatorial"|"Tesouro"|"Atencao Media Alta Complex Amb e Hosp."|"3.3.90.30.00-Material de Consumo"|"Secr.da Saude"|"Saude Publica de Qualidade e Eficaz"|"2093-Atencao de Media e Alta Complexidade"|"Pregao Eletronico"|8185.91|0.00|8185.91|0.00|0.00
"00050-01"|"E00252/2021"|"Alberto Caio Tamborrino Importacao Exportacao <br>(74.434.457/0001-40)"|"19/10/2023"|"PREFIXO 1044 RENAULT MASTER 2.3 ANO 2019 CPLV04.252/21-FL.218"|"Saude"|"Assistencia Hospitalar e Ambulatorial"|"Tesouro"|"Atencao Media Alta Complex Amb e Hosp."|"3.3.90.30.00-Material de Consumo"|"Secr.da Saude"|"Saude Publica de Qualidade e Eficaz"|"2093-Atencao de Media e Alta Complexidade"|"Pregao Eletronico"|0.00|-8185.91|-8185.91|0.00|0.00
"00050-01"|"G00851/2018"|"Neo Consultoria e Adm. de Beneficios Eireli <br>(25.165.749/0001-10)"|"02/01/2024"|"REEMP. NE 20392/23 - CPLV07.851/18(RATEI O SEAD)-ABASTEC. COMBUSTIVEL"|"Saude"|"Assistencia Hospitalar e Ambulatorial"|"Tesouro"|"Atencao Media Alta Complex Amb e Hosp."|"3.3.90.39.00-Outros Servicos de Terceiros - Pessoa Juridica"|"Secr.da Saude"|"Saude Publica de Qualidade e Eficaz"|"2093-Atencao de Media e Alta Complexidade"|"Pregao Presencial"|227.88|0.00|227.88|227.88|227.88
"00051-01"|"E00361/2022"|"Superarmed Equipamentos Medicos Hospitalares <br>(23.643.895/0001-88)"|"01/07/2025"|"SALDO CPL361/22(DAG)-LOCACAO BIPAP(SUPER ARMED)(ATA-MJ)"|"Saude"|"Assistencia Hospitalar e Ambulatorial"|"Tesouro"|"Atencao Media Alta Complex Amb e Hosp."|"3.3.90.39.00-Outros Servicos de Terceiros - Pessoa Juridica"|"Secr.da Saude"|"Saude Publica de Qualidade e Eficaz"|"2093-Atencao de Media e Alta Complexidade"|"Pregao Eletronico"|0.00|-779.00|-779.00|0.00|0.00
"00051-01"|"E00361/2022"|"Superarmed Equipamentos Medicos Hospitalares <br>(23.643.895/0001-88)"|"02/01/2025"|"SALDO CPL361/22(DAG)-LOCACAO BIPAP(SUPER ARMED)(ATA-MJ)"|"Saude"|"Assistencia Hospitalar e Ambulatorial"|"Tesouro"|"Atencao Media Alta Complex Amb e Hosp."|"3.3.90.39.00-Outros Servicos de Terceiros - Pessoa Juridica"|"Secr.da Saude"|"Saude Publica de Qualidade e Eficaz"|"2093-Atencao de Media e Alta Complexidade"|"Pregao Eletronico"|779.00|0.00|779.00|0.00|0.00
